Nombre,Ingredientes,Preparación
Espagueti a la Crema,"{'Fideos Espagueti': '200 gr', 'Crema de leche': '150 ml', 'Dientes de ajo': '2 unidades', 'Queso cremoso': '200 gr', 'Perejil picado': '2 cdas', 'Caldo de coccion': '100 ml', 'Sal y pimienta': 'Aceite', 'Crema de leche ': '150 ml'}","1-Cocinar en abundante agua los fideos, cuando llegue a ebullición,agregar un puñado de sal, los removemos muy de vez en cuando. 
Sobre todo al principio de la cocción, para que no se peguen en 
el fondo de la olla.
2.- Una vez están al dente, al cabo de unos 10 min, escurrimos los espagueti del agua, habiendo reservado un par de cucharones del caldo de la cocción.
3.- Preparamos la salsa de queso. En una sartén grande ponemos a calentar a fuego fuerte un chorrito de aceite. Después añadimos 
los ajos, bien picados, y dejamos que se doren.
4.- Añadimos la crema y el queso y dejamos cocinar durante un parde minutos más, a fuego moderado. Removemos con una cuchara de 
madera.
5.- Después añadimos aquí los espagueti, el caldo de la cocción, un puñado de perejil picado y removemos nuevamente, dejando 
cocinar a fuego suave durante un par de minutos más. 
6.- Finalmente, espolvoreamos con pimienta negra recién molida.

Creado Sat Mar 25 14:20:14 2023

"
Buñuelos de brocoli,"{'Brocoli ': '1 unidad', 'Huevos ': '2 unidades', 'Harina': '1/2 taza', 'Queso rallado': '3 cucharadas', 'Aceite de girasol': 'c/n'}","Blanquear los brocolis, poner en un bol, agregar el queso ralladoy mezclar.
Preparar una pasta con los huevos y la harina,condimentar.
Calentar abundante aceite en una sarten,tomar cucharadas de la 
mezcla de vegetales, sumergir en la pasta, y deslizar en la 
fritura.
Dar vuelta los buñuelos para dorar en forma pareja,escurrir,poneren papel de cocina. Servir calientes.

Creado Sat Mar 25 14:20:14 2023

"
Tortilla de papas rellena,"{'Papas medianas': '3 unidades', 'Huevos ': '5 unidades', 'Cebolla': '1 unidad', 'Jamon cocido': '50 gr', 'Queso tybo ': '100 gr', 'Sal y Pimienta': 'A gusto', 'Aceite': 'c/n'}","En una sartén a fuego medio,añadir un buen chorro de aceite y laspapas  picadas y la cebolla cortada en trozos grandes.
Añadir una pizca de sal y dejar cocinar todo, mientras removemos con una cuchara de madera, durante unos 10 min.
Pasado el tiempo, aplastamos la papa con la cuchara. 
En un bol poner los huevos,una pizquita de sal y batir bien. 
Después añadir el puré de papa y cebolla y mezclar hasta obtener una masa homogénea
Poner un pequeño chorrito de aceite en una sartén más pequeña y 
más profunda, a fuego moderado. Encima colocar aprox 1/3 de la 
mezcla de papa y huevo. Con la cuchara lo extendemos en la sartény encima, colocamos el queso y el jamón. 
Encima colocamos el resto de la papa y huevo y con la cuchara lo extendemos bien. Cocinar a fuego moderado 5 minutos.
Con la ayuda de un plato, damos la vuelta nuestra tortilla e 
introducimos el otro lado en la sartén. 
Cocinamos otros 5 minutos más.

Creado Sat Mar 25 14:20:14 2023
"
Bocaditos de coliflor,"{'Coliflor grande': '1 unidad', 'Sal y Pimienta': 'A gusto.', 'Harina ': '125 gr', 'Yemas': '2 unidades', 'Agua': '1/2 taza', 'Clara batida a nieve': '1 unidad', 'Aceite para freir': 'c/n'}","Salpimentar los gajos de coliflor.
Preparar una pasta batiendo la harina con las yemas, agua, sal, 
pimienta y la clara a nieve.
Calentar abundante aceite en una sartén profunda, pasar los gajosde coliflor por la pasta, freírlos en el aceite hasta que queden dorados.
Escurrirlos sobre papel absorbente y servir calientes.

Creado Sat Mar 25 14:20:14 2023
"
Pollo al ajíllo,"{'Pata muslo de pollo': '4 unidades', 'Harina': '1 taza', 'Aceite ': '5 cdas.', 'Pimenton': 'c/n', 'Dientes de ajo': '8 unidades', 'Vino blanco': '1 taza'}","Tomar las patamulso,y pasarlas por harina,retirando el excedente.
Cortar los ajos en láminas y reservar.
Poner una sartén a fuego máximo, cuando tome mucha temperatura 
colocar 5 cucharadas de aceite y poner las presas de pollo.
Sellar el pollo de un lado, luego darle vuelta y colocar las láminas de ajo por toda la sartén.
Colocar el vino blanco y esperar a que se evapore el alcohol.
Cuando el pollo ya se vea cocido, colocarle el pimentón a gusto y servir.

Creado Sat Mar 25 14:20:14 2023
"
Bastones de queso,"{'Queso tybo ': '500 gr', 'Pan rallado': '200 gr', 'Harina': '100 gr', 'Leche descremada': '2 cdas', 'Huevos batidos': '2 unidades', 'Perejil picado': '2 cdas', 'Pimienta blanca': 'A gusto', 'Aceite': '1 cda'}","Cortar el queso en bastones.
Batir el huevo con perejil y condimentos.
Pasar los bastones por harina
luego por huevo y por último por pan rallado.
Llevar a congelador por 30 minutos.
Cocinar en horno en placa apenas aceitada o con rocío vegetal.
Servir con una ensalada.

Creado Sat Mar 25 14:20:14 2023

"
Merluza a la romana,"{'Filetes de merluza': '6 unidades', 'Sal y Pimienta': 'A gusto', 'Jugo de limon ': 'c/n', 'Harina': 'c/n', 'Huevos ': '3 unidades', 'Aceite para freir': 'c/n', 'Gajos de limon': 'c/n'}","Emparejar el tamaño de los filetes .
Salpimentar, rociar con un poco de jugo de limón y dejar reposar.
Pasar los filetes por harina y luego por los huevos batidos.
Calentar abundante aceite en una sartén profunda y freirlos de a uno por vez en el aceite.
Dorar de ambos lados, escurrir sobre papel absorbente y servir
con los gajos de limón.

Creado Sat Mar 25 14:20:14 2023

"
Rabas a la romana,"{'Anillos de rabas': '400 gr', 'Harina': 'Cant. nec.', 'Huevos': '3 unidades', 'Aceite para freir': 'Cant. nec.', 'Gajos de limón': 'Cant.nec.', 'Sal y Pimienta': 'A gusto'}","Pasar los aros de rabas por harina y luego por los huevos 
condimentados.
Escurrir, sumergir por tandas en aceite caliente, darles vuelta 
para que emparejen su color, escurrir y poner sobre papel de 
cocina.
Servir con gajos de limón.

Creado Sat Mar 25 14:20:14 2023
"
Pollo rostizado,"{'Pollo': '1 kg aprox', 'Papas': '2 medianas', 'Zanahoria': '2 unidades', 'cebolla': '1 unidad', 'Limon': '1/2', 'Sal': '1 cucharada', 'Pimienta negra molida': '1 g', 'Pimenton dulce': '1 g', 'Pimenton picante': '1 g', 'Jugo limon': '1/4 Taza', 'Vino blanco': '1/2 Taza', 'Agua': '1/2 Taza', 'Aceite de oliva virgen extra': '-', 'Mostaza de Dijon': '-'}","1_Limpiar bien el pollo bajo un chorro de agua fría, sacar las vísceras, grasa, plumas. Secarlo con papel absorbente. Importante: tiene que estar bien seco.
2_Cortar la cebolla en cuartos. Dejar dos a mano y reservar los otros dos. Lavar bien el limón y pincharlo atravesando bien la piel.
3_Rellenar el pollo con el limón y la media cebolla.
4_En un recipiente aparte mezclar la pimienta, los dos tipos de pimentón, el jugo de limón, la mostaza y el aceite de oliva. Untar el pollo con esta mezcla, asegurarse que quede bien cubierto por todos lados.
5_Pelar y cortar las papas en trozos finos. Ponerle sal y cocinar al vapor durante cinco minutos. Estas irán en la base de la bandeja de horno. 
6_Pelar y cortar en tiras las zanahorias y la cebolla (la que estaba reservada). Incorporarlas en la base con las papas y regarlas con el vino blanco, el agua y un chorrito de aceite de oliva.
7_Sobre la base anterior colocar el pollo con las pechugas hacia arriba.
8_Llevar la bandeja con las verduras a la parte media del horno pre calentado a 220 ºC. Hornear durante una hora y voltear con cuidado. Se puede abrir el horno de vez en cuando para remover y voltear las verduras y que se asen uniformemente.
9_Hornear durante 30-45 minutos más. Retirar el pollo del horno y dejarlo reposar unos minutos antes de servir junto con sus verduritas asadas.

Creado Sat Mar 25 14:20:14 2023
"
Budin de espinacas,"{'Espinaca': '400 gr', 'Cebolla': '1 unidad', 'Huevos': '3 unidades', 'Queso rallado': '1/2 taza', 'Harina': '1 taza', 'Sal y Pimienta ': 'A gusto'}","Dorar la cebolla en una sartén con aceite. Dejár enfriar.
Mezclar las espinaca con los huevos y el queso rallado.
Condimentar con sal y pimienta.
Agregar la harina. 
Mezclar todo de nuevo.
Volcá la preparación en una budinera,enmantecada y enharinada.
Llevá a horno de temperatura mediana hasta que pinchando con un 
palillo en el centro salga limpio.

Creado Sat Mar 25 14:20:14 2023
"
Pollo al horno con verduras,"{'Pata muslo de pollo': 'Papas medianas', '2 unidades': 'Zanahoria', '3 unidades': 'Cebolla ', '1 unidad': 'Tomillo seco', '4 unidades': 'Pimiento rojo', 'A gusto': 'Sal y Pimienta', 'Aceite': 'c/n', 'Pimiento verde': '1 unidad'}","Ponemos en la base de una fuente para horno, las papas cortadas 
en láminas de 1cm de grosor, la zanahoria en trozos , la cebolla en tiras, los dientes de ajo picados ,el pimiento verde y el rojocortados en tiras. Salpimentar
Encima, colocamos los muslos de pollo. Los bañamos con un vaso deagua y salpimentamos. Después le añadimos un pequeño chorrito de
aceite a cada muslo y espolvoreamos con tomillo seco.
Metemos al horno previamente calentado a 200 ºC,cocinar alrededor de 25 minutos.
Pasado el tiempo, retiramos el pollo del horno y le damos la vuelta. Volvemos a salpimentar, echamos un poco más de tomillo y volvemos a meter hasta que esté cocinado y bien dorado. Otros 25 minutos más o menos

Creado Sat Mar 25 14:20:14 2023
"
Ensalada de atun y vegetales,"{'Atun': '1 lata', 'Papas hervidas en rodajas': '2 unidades', 'Aceitunas negras descarozadas': '1 taza', 'Huevos duros': '3 unidades', 'Lechuga en juliana': '1 unidad', 'Aceite': 'A gusto', 'Vinagre': 'A gusto.', 'Sal': 'a gusto', 'Pimienta': 'A gusto.'}","Cubrir el fondo de una ensaladera con lechuga cortada en juliana.
Abrir la lata, escurrir el agua o aceite, mezclar los trozos con las papas y aceitunas.
Distribuir sobre la lechuga, rociar con aceite, jugo de limón,saly pimienta.
Acomodar los huevos duros en gajos

Creado Sat Mar 25 14:20:14 2023
"
Brochet de carne y verduras,"{'Pechuga de pollo': '1 unidad', 'Tomate': '2 unidades', 'Zapallito': '2 unidades', 'Cebolla': '1 unidad', 'Pimiento': '1 unidad'}","Humedecer los palitos de brochett en agua.
Colocar los cubos de vegetales y el pollo intercalados en la
brochett.
Cocinar sobre plancha caliente, parrilla u horno,dándole vuelta 
mientras se dora y cocina.
Condimentar a gusto.
Servir si desea espolvoreado con semillas.

Creado Sat Mar 25 14:20:14 2023
"
Bombas de arroz rellenas con queso,"{'Arroz cocido': '300 gr', 'Huevos': '2 unidades', 'Perejil picado': '2 cdas', 'Sal y pimienta': 'A gusto', 'Nuez moscada': 'A gusto', 'Mozarella rallada': '2 tazas', 'Pan rallado': 'c/n', 'Aceite ': 'c/n'}","Mezclar el arroz cocido y tibio con una yema, perejil, y los 
condimentos, separar en porciones medianas, ahuecar y llenar los huecos con queso rallado.
Cerrar, dar forma de bomba o croqueta y pasar por el huevo y 
la clara bien batidos, luego por el pan rallado y completar hastaterminar con todo.
Mantener en la heladera hasta el momento de freír u hornear-
Calentar bastante aceite en una sartén profunda, bajar la llama 
para que no está demasiado caliente y cocinar hasta dorar.
Escurrir en papel absorbente.
Si se quiere hornear, cocinar en placas levemente aceitada y dar vuelta para emparejar la cocción.
Servir caliente.

Creado Sat Mar 25 14:20:14 2023
"
Pollo a la mostaza con ensalada,"{'Pollo sin piel': '1 unidad', 'Jugo de limon': '1 taza', 'Pimienta': '1 pizca', 'Oregano': '1 cda', 'Mostaza': '2 cdas', 'Tomate  en cubos': '1 taza', 'Zanahora rallada ': '1/2 taza', 'Choclo en grano': '1/2 taza', 'Queso tybo en cubos': '100 gr', 'Aceite': 'c/n', 'Vinagre': 'c/n'}","Salsa para marinar carne: jugo de limón,
pimienta, orégano y mostaza.
Ensalada: tomate en cubos, zanahoria rallada, 
choclo en grano, cubos de queso tybo , pimienta,aceite y vinagre.Preparacion:
Macerar el pollo sin piel con la salsa para marinar.
Cocinar en horno.
Servir con la ensalada.

Creado Sat Mar 25 14:20:14 2023
"
Pollo con champiñones,"{'Pollo': '1 unidad', 'Harina 0000': 'c/n', 'Cebolla': '2 unidades', 'Diente de ajo': '1 unidad', 'champiñones': '200 gr', 'pure de tomates': '1 lata', 'Vino blanco': '200 ml', 'Caldo de gallina': '200 cc', 'Hojas de laurel': '2 unidades', 'Sal y Pimienta': 'A gusto'}","Limpiar el pollo ,sacar la piel y trozarlo. e
En una olla bien caliente, poner el pollo con aceite y dorar.
Espolvorearlo con un poco de harina y sellarlo de ambos lados
Agregar las cebollas y el ajo fileteados.
Cocinar hasta que la cebolla quede transparente.
Agregar el caldo de gallina y el vino blanco.
Hervir y agregar la lata de tomate.
Revolver para que quede todo integrado.
Cortar los champiñones y agregarlos a la olla.
Poner las hojas de laurel
Mezclar y dejar cocinar a fuego moderado durante 45/50min. Salpimentar a gusto

Creado Sat Mar 25 14:20:14 2023
"
Asado a la parrilla de matambre de vaca a la provenzal tiernisimo,"{'Matambre': '1 a 2 kg', 'Leche entera': '2 Litros', 'Sal': 'a gusto', 'Perejil y ajo picados': 'cantidad necesaria'}","Paso 1
En una olla colocamos la leche y hervimos por unos 40 a 60 min con el matambre, retiramos y dejamos enfriar.
Paso 2
Llevamos el matambre a la parrilla a fuego suave vuelta y vuelta, primero del lado de la grasa por unos 15 min salando.
Paso 3
Al dar vuelta esparcimos la provenzal por la parte de la grasa aplastándola con el plano de la cuchilla para un contacto intimo de los jugos de ella con la pieza.
Paso 4
Al cabo de 10 min. listo. Quedará súper tierno y rico.

Creado Sat Mar 25 14:20:14 2023
"
pollo con papas,"{'pollo': '1', 'papas': '2 kg'}","preparar

Tiempo de Cocción 30 Minutos
Tiempo de Preparación 50 Minutos
Creado 27-03-2023 11:13:10


"
